Date,Age,Gender,Shift,Productivity Score,Temperature,Task Type,Time Taken (mins),Quantity,Line Efficiency,Machine ID,Break Time (mins)
31/1/2023,36,Male,Evening,64.30765052,27.56,Inspection,21.46,34,70.96,MCH-204,15
23/3/2023,52,Female,Evening,62.96521307,28.11,Packing,32.91,24,60.97,MCH-204,15.2
12/3/2023,41,Male,Evening,74.90026136,25.86,Inspection,27.01,30,69.48,MCH-101,21.1
18/1/2023,37,Male,Morning,65.92917637,26.09,Assembly,46.38,31,60.33,MCH-101,14.3
5/3/2023,38,Female,Morning,63.50034162,27.52,Assembly,28.2,32,64.97,MCH-305,16
20/1/2023,29,Female,Night,62.0504387,26.26,Packing,30.05,28,73.85,MCH-101,15.8
15/2/2023,41,Female,Evening,79.09396495,23.41,Assembly,25.92,33,69.39,MCH-305,17.7
15/3/2023,42,Male,Morning,62.16095502,27.29,Assembly,34.7,25,71.96,MCH-305,15.8
11/2/2023,55,Male,Morning,79.43838597,26.47,Assembly,33.48,40,58.31,MCH-101,15.4
13/3/2023,22,Female,Morning,44.37556309,28.43,Packing,49.82,27,63.89,MCH-204,21
11/3/2023,54,Female,Night,44.06917851,29.23,Assembly,34.7,32,76.13,MCH-204,14.7
17/2/2023,53,Male,Morning,66.2989536,27.56,Inspection,48.45,27,53.25,MCH-204,17.2
4/1/2023,70,Female,Night,30,48.49,Assembly,50.38,30,56.74,MCH-101,11.1
7/3/2023,41,Male,Morning,66.61480914,27.5,Assembly,31.46,25,66.94,MCH-204,15
5/3/2023,26,Female,Evening,69.82105822,24.67,Assembly,,35,64.83,MCH-305,14.7
1/2/2023,50,Female,Morning,78.26074826,25.69,Inspection,29.26,26,77.69,MCH-101,14.8
21/2/2023,41,Female,Night,84.62374736,24.35,Packing,22.72,30,46.05,MCH-305,9.8
21/1/2023,34,Female,Morning,73.53653765,23.5,Packing,58.59,30,69.18,,13.9
22/1/2023,41,Male,Evening,72.25874694,26.67,Assembly,29.31,26,83.71,MCH-204,12.4
16/2/2023,58,Male,Morning,73.8156106,26.37,Inspection,25.98,17,73.27,MCH-204,18.3
14/2/2023,37,Male,Morning,64.17736945,27.38,Assembly,24.39,35,54.66,MCH-305,
23/2/2023,41,Female,Morning,63.25377377,27.09,Packing,28.75,31,94.28,MCH-204,16.9
15/3/2023,47,Female,Night,73.26275694,26.49,Packing,31.96,21,64.53,MCH-305,17
28/2/2023,51,Female,Evening,67.67688333,27.11,Inspection,47.43,20,45.66,MCH-101,13.2
16/2/2023,41,Male,Evening,69.1256868,27.29,Inspection,53.13,28,,MCH-101,12.4
28/3/2023,27,Male,Evening,57.85123929,26.83,Packing,,30,61.92,MCH-101,14.2
4/1/2023,34,Female,Night,74.00874255,24.55,Packing,50.88,29,88.71,MCH-204,13.8
28/1/2023,38,Female,Evening,66.06502576,26.74,Packing,51.78,37,77.22,,12.1
19/3/2023,73,Female,Evening,30,50,Assembly,28.8,22,91.31,,14.1
7/3/2023,21,Male,Morning,61.33055933,24.66,Packing,25.89,31,59.47,MCH-101,15.9
22/2/2023,41,Male,Morning,73.06275408,26.1,,40.22,,82.78,MCH-101,11.4
13/3/2023,26,Male,Morning,64.62964035,24.75,Inspection,28.62,33,61.87,MCH-204,14.4
26/1/2023,49,Female,Evening,80.62465299,24.95,Packing,49.98,34,73.44,MCH-204,13.4
24/3/2023,47,Male,Morning,84.38701962,23.75,Packing,39.91,31,71.72,MCH-204,15.3
23/3/2023,56,Female,Morning,54.28295226,28.53,Inspection,27.46,31,83.87,MCH-305,20.7
20/3/2023,41,Male,Morning,56.95484963,28.13,Packing,37.92,28,78.1,MCH-204,10.5
13/3/2023,34,Male,Morning,62.14658308,27.07,Inspection,35.7,22,,MCH-101,14.7
2/1/2023,58,Female,Night,35.34198692,29.94,Inspection,15.8,32,80.89,MCH-101,15.8
2/3/2023,36,Female,Evening,73.39280559,25.62,Inspection,25.13,28,69.08,MCH-305,13.5
1/3/2023,33,Female,Night,30,32.06,Inspection,28.42,26,76.94,,16.1
2/2/2023,56,Male,Evening,74.41118562,25.54,Inspection,38.79,32,72.96,MCH-305,10.6
26/3/2023,34,Female,Night,69.29796212,26.51,Inspection,40.66,32,67.87,MCH-204,13.9
19/2/2023,23,Female,Morning,66.29150715,25.2,Inspection,47.07,26,56.76,MCH-101,7
25/1/2023,38,Female,Morning,65.8520212,27.29,Packing,27.95,31,72.03,MCH-204,14.3
24/2/2023,51,Male,Night,63.07629882,27.29,Assembly,20.18,30,63.25,MCH-204,11.3
3/1/2023,27,Female,Evening,70.07283203,25.77,Packing,,31,57.7,MCH-101,15.9
28/2/2023,41,Female,Morning,42.70211375,29.55,Inspection,27.94,36,78.3,MCH-101,19.2
11/1/2023,25,Male,Morning,57.25981743,26.48,,26.98,32,63.69,MCH-101,15.8
23/2/2023,47,Male,Morning,71.99725519,26.54,Packing,34.78,32,51.95,MCH-204,
16/2/2023,79,Female,Night,30,54.36,Assembly,41.98,26,70.02,MCH-305,13.4
23/1/2023,33,Male,Morning,67.56034166,26.84,Packing,30.88,26,68.48,MCH-204,14.2
26/1/2023,90,Male,Night,30,52.55,Packing,40.01,32,69.38,MCH-305,14.2
9/2/2023,42,Female,Night,76.55787494,24.78,Packing,44.7,,,MCH-204,15
4/1/2023,46,Male,Night,75.60840162,24.45,Assembly,34.89,28,59.94,MCH-204,16.4
1/3/2023,57,Female,Evening,66.07351794,27.29,Inspection,23.63,26,66.01,MCH-204,12.7
21/2/2023,37,Male,Night,77.52134678,25.47,Assembly,32.21,29,80.39,MCH-204,18.4
11/2/2023,26,Female,Morning,68.09108022,23.09,Packing,45.2,,78.55,MCH-305,14.4
14/1/2023,53,Male,Evening,78.26771798,24.6,Packing,41.3,,66.46,MCH-204,15
16/2/2023,45,Female,Morning,76.3358977,25.9,Assembly,24.33,32,75.85,MCH-101,18.9
1/1/2023,48,Male,Night,66.53705212,,Assembly,46.77,35,70.93,MCH-101,8.6
18/3/2023,23,Male,Night,56.13956852,27.11,Inspection,31.69,35,,MCH-204,7.4
19/1/2023,32,Male,Morning,61.05842226,27.35,Inspection,24.27,29,,MCH-305,16.2
8/2/2023,50,Male,Morning,62.35397596,,Assembly,34.68,27,61.05,MCH-101,15
17/2/2023,53,Male,Morning,73.81635511,26.68,Inspection,19.75,26,73.07,MCH-101,19.5
20/1/2023,37,Male,Morning,76.42111941,24.25,,41.5,28,53.37,MCH-101,11.6
13/2/2023,52,Male,Night,77.30257668,24.76,Assembly,46.45,25,73.61,MCH-204,16.5
28/3/2023,41,Male,Evening,79.42478603,24.16,Inspection,24.99,32,63.4,MCH-101,13.9
20/2/2023,35,Male,Morning,77.5207446,23.62,Packing,33.32,35,66.18,MCH-305,17.8
17/1/2023,55,Male,Night,55.51510902,28.13,Assembly,43.72,22,67.09,MCH-305,8.4
9/2/2023,41,Female,Night,63.11271882,27.38,Inspection,21.69,30,47.81,MCH-305,14.2
12/1/2023,29,Male,Evening,51.96172139,27.95,Packing,22.79,38,53.86,MCH-101,17.2
8/2/2023,47,Female,Night,67.48228212,26.08,Assembly,32.63,23,78.3,MCH-101,12.6
19/3/2023,45,Female,,69.19138529,27.55,Inspection,32.21,37,71.05,MCH-305,14.8
27/2/2023,25,Male,Morning,66.1448221,22.48,Packing,35.49,26,84.58,MCH-101,15.1
14/2/2023,53,Male,,64.38011874,27.73,Packing,33.95,27,56.32,MCH-305,16
20/3/2023,27,Male,Evening,58.20653464,26.35,Packing,21.7,33,78.51,MCH-204,11.7
7/2/2023,52,Male,Morning,67.89615618,27.25,Packing,18.85,33,74.61,MCH-204,13.5
12/2/2023,20,Male,Morning,53.66478236,26.76,Assembly,21.82,29,81.65,MCH-204,16.5
23/2/2023,51,Male,Night,78.08817823,24.03,Packing,40.03,26,68.92,MCH-101,17.2
5/3/2023,51,Female,Night,78.76367228,23,Assembly,44.51,24,71.15,MCH-204,15.5
9/2/2023,51,Male,Night,83.05351044,24.58,Assembly,34.11,30,61.23,MCH-204,14
14/1/2023,99,Female,Night,30,,Inspection,42.11,29,67.29,MCH-305,15.3
23/3/2023,38,Male,Night,66.34828046,27.38,Assembly,28.92,26,65.09,MCH-305,17.5
25/2/2023,48,Male,Evening,78.66055301,23.26,Packing,31.33,29,56.75,MCH-305,15.6
7/1/2023,31,Female,Evening,67.82090364,24.04,Assembly,44.24,31,71.36,MCH-204,11.5
7/2/2023,51,Female,Night,82.65130275,24.55,Assembly,39.65,35,79.42,MCH-305,11.6
6/2/2023,41,Female,Evening,78.32929642,25.29,Inspection,36.77,31,81.8,MCH-204,15.1
22/2/2023,41,Male,Morning,79.66931546,23.28,Assembly,33.53,29,61.89,MCH-101,10
30/1/2023,40,Male,Night,79.97635702,23.16,Inspection,23.42,26,69.64,MCH-204,17.4
8/1/2023,42,Male,Morning,81.18507081,24.36,Assembly,35.86,26,68.65,MCH-305,12.2
4/3/2023,21,Male,Night,58.4417317,26.17,Inspection,38.1,31,84.75,MCH-305,11.5
4/1/2023,25,Female,Evening,67.95600749,23.64,Assembly,57.08,31,87.86,MCH-305,20.1
21/1/2023,41,Male,Night,75.65403421,25.77,Packing,34.21,29,56.95,MCH-305,13.5
28/3/2023,41,Male,Morning,58.70847889,28.12,Assembly,31.3,35,74.86,MCH-101,15.9
3/3/2023,37,Female,Evening,73.09419821,23.4,Inspection,37.82,30,75.31,MCH-101,16.8
12/3/2023,46,Male,Evening,76.52797698,25.59,Inspection,49.48,28,67.99,MCH-204,19.4
7/1/2023,46,Male,Evening,55.9082016,28.05,Packing,38.52,27,57.37,MCH-305,13.2
1/1/2023,38,Male,Morning,70.73345067,27.2,Packing,33.21,26,77.05,MCH-101,15.5
24/1/2023,54,Male,Night,79.68481206,24.85,Inspection,27.15,32,82.16,MCH-101,14.6
3/2/2023,42,Female,Evening,57.90992142,28.33,Packing,26.67,27,64.53,MCH-101,22.2
20/2/2023,23,Female,Night,60.26179152,25.39,Assembly,42.81,31,81.96,MCH-305,8.9
2/3/2023,50,Female,Evening,58.97035146,28.21,Assembly,32.12,26,70.04,MCH-101,14.5
13/1/2023,42,Male,Morning,70.09507345,26.86,Packing,55.07,29,84.22,MCH-305,14.9
5/2/2023,45,Female,Night,75.35643007,25.31,Assembly,35.84,30,84.2,MCH-101,14.7
22/1/2023,42,Female,Morning,64.94745448,26.96,Assembly,39.88,42,69.76,MCH-101,10.7
29/1/2023,42,Male,Morning,63.30306509,27,Packing,29.46,23,74.17,MCH-305,9.4
25/3/2023,23,Female,Night,44.5442488,28.04,Inspection,26.78,34,62.98,MCH-305,10.4
21/1/2023,42,Male,Night,78.68537178,24.9,Assembly,42.64,26,53.76,MCH-305,17.6
23/2/2023,51,Female,Night,78.80934438,26.08,Packing,46.96,37,72.51,MCH-101,14.9
5/3/2023,32,Female,Evening,67.80327118,25.88,Inspection,25.06,27,55.34,MCH-204,9.7
3/3/2023,44,Male,Night,62.38909518,27.41,Assembly,27.65,35,90.93,MCH-204,19.3
23/1/2023,21,Male,Morning,63.05490368,23.95,Assembly,28.41,31,81.38,MCH-305,20.9
8/2/2023,33,Male,Night,60.53149494,28.03,Packing,41.77,23,68.48,MCH-305,15.9
1/2/2023,37,Female,Evening,65.63258413,26.93,Assembly,38.62,31,96.67,MCH-204,16.3
12/1/2023,59,Male,,80.92039921,23.37,Inspection,34.01,33,63.7,MCH-204,15.3
4/3/2023,28,Female,Evening,43.35041527,28.42,Packing,27.2,33,66.08,MCH-305,13.1
15/1/2023,31,Male,Evening,30,30.47,Packing,51.08,29,65.95,MCH-305,9.5
9/2/2023,36,Male,Morning,59.26161155,28,Packing,44.78,43,69.36,MCH-305,11.8
1/1/2023,59,Female,Evening,49.51599437,28.85,Packing,15.05,40,66.9,,
15/3/2023,96,Female,Morning,30,46.73,Inspection,43.57,32,74.57,MCH-204,16.7
15/3/2023,21,Female,Morning,57.26913013,22.68,Inspection,32.11,23,60.01,MCH-204,14.3
17/1/2023,29,Male,Morning,64.47834253,22.31,Inspection,28.98,25,71.28,MCH-305,14.7
16/1/2023,,Male,Night,72.28072139,27.29,Inspection,42.66,29,64.57,MCH-101,15.1
7/2/2023,22,Male,Evening,61.02907794,24.82,Inspection,38.51,30,70.63,,15.3
9/3/2023,54,Female,Morning,79.48992399,24.17,Inspection,35.89,26,59.17,MCH-101,13.2
21/3/2023,31,Female,Evening,68.06945951,25.87,Packing,26.01,27,61.35,MCH-101,16.2
7/3/2023,56,Male,Evening,65.38194533,27.23,Packing,45.15,20,,MCH-204,11.7
28/2/2023,31,Female,Morning,75.19742777,23.09,Packing,22.64,19,60.79,MCH-204,15.9
25/3/2023,,Male,Evening,76.78926893,25.1,Inspection,42.74,30,75.23,MCH-204,10.4
19/1/2023,46,Female,Night,50.93528598,29.02,Packing,35.9,38,64.63,MCH-305,11.4
16/2/2023,25,Female,Night,53.98296419,27.29,Inspection,34.64,22,59.83,MCH-101,12.8
21/1/2023,42,Female,Morning,61.79277544,27.74,Packing,29.49,29,70.64,MCH-101,15.6
19/1/2023,40,Male,Night,76.7243345,25.03,Inspection,36.65,30,61.31,MCH-101,
24/2/2023,51,Female,Night,70.8048182,27.09,,21.24,32,75.18,MCH-101,12.4
11/3/2023,59,Male,,59.44461776,28.19,Inspection,47.35,27,68.75,MCH-305,10.7
19/1/2023,46,Male,Night,66.96018393,27.48,Assembly,30.97,24,83.36,MCH-204,18.6
9/1/2023,36,Male,Evening,58.33980213,27.82,Assembly,28.1,33,56.94,MCH-204,15.2
9/1/2023,36,Female,Night,61.24653881,,Inspection,33.03,20,72.76,MCH-305,14.6
27/2/2023,36,Male,Evening,51.82051592,28.23,Packing,31.26,,73.7,MCH-204,16.1
26/2/2023,52,Male,Morning,75.52046121,24.29,Inspection,47.43,26,60.03,MCH-101,12.1
15/1/2023,32,Female,Morning,63.4209972,26.52,Inspection,17.67,31,63.36,MCH-305,18.2
16/2/2023,26,Female,Morning,63.11917168,26.52,Assembly,34.26,36,55.77,MCH-305,16.7
20/3/2023,33,Male,Night,62.83035663,26.97,Inspection,50.83,27,54.4,MCH-101,14.1
7/2/2023,20,Female,Evening,58.57574256,26.67,Assembly,35.68,28,68.81,MCH-305,14.8
9/3/2023,24,Male,Evening,63.57598008,24.31,Packing,36.88,28,78.07,MCH-101,14.3
21/3/2023,23,Male,,59.34765413,23.3,Packing,34.72,41,68.68,MCH-305,19
12/2/2023,50,Male,,59.64455367,27.74,Packing,28.51,29,69.1,MCH-204,16.3
24/2/2023,48,Male,Night,74.08191856,26.37,Inspection,40.4,29,57.02,MCH-101,16.6
12/3/2023,47,Male,Morning,65.70824983,28.3,Assembly,33.08,30,48.98,MCH-204,15.2
16/1/2023,,Male,Evening,77.82812624,25.91,Inspection,36.41,37,73.42,MCH-305,15
22/1/2023,48,Male,Morning,78.77409368,23.19,Packing,40.49,27,63.39,MCH-305,20.6
16/3/2023,,Male,Morning,60.1733251,27.93,Inspection,39.42,34,51.99,MCH-305,13.9
30/1/2023,56,Male,Morning,80.70481778,25.26,Assembly,35.97,26,64.56,MCH-305,15.7
8/1/2023,40,Female,Night,67.36173837,26.68,Assembly,43.99,26,72.49,MCH-305,21.2
15/2/2023,57,Female,Night,75.79749055,24.71,Packing,45.12,32,74.03,MCH-204,19
11/1/2023,26,Male,Morning,32.2109212,29.29,Packing,42.85,36,71.99,MCH-101,16.1
18/3/2023,39,Male,Evening,78.71377425,24.25,Packing,45.55,28,63.04,MCH-305,10.5
7/3/2023,47,Female,Evening,79.96945834,25.33,Inspection,48.56,28,75.94,MCH-305,21.5
14/3/2023,39,Female,Evening,70.65243695,26.21,Assembly,22.94,33,69.8,MCH-305,14.3
8/1/2023,37,Female,Night,76.41568344,23.82,Inspection,62.58,30,61.24,MCH-204,15.3
3/1/2023,26,Male,Morning,59.68558731,26.66,Packing,36.56,33,58.83,MCH-305,18.1
3/3/2023,35,Female,Morning,59.88412185,,Assembly,32.57,22,71.96,MCH-305,14.4
21/2/2023,29,Female,Evening,67.13035602,25.02,Packing,36.69,25,78.69,MCH-305,15.6
14/2/2023,32,Male,Evening,62.09779273,26.79,Assembly,20.24,30,75.94,MCH-101,15.2
15/3/2023,47,Male,Morning,66.50147042,20.5,Assembly,37.34,32,71.63,MCH-101,13.9
12/1/2023,45,Male,Night,75.42985149,25.92,Packing,27.07,29,76.33,MCH-305,16.1
5/3/2023,44,Male,Morning,79.36519109,25.37,Assembly,35.73,30,93.71,MCH-101,13.1
6/2/2023,34,Female,Morning,65.64671046,,Assembly,36.45,33,72.88,MCH-305,11.6
4/1/2023,58,Male,Evening,57.49161153,28.16,Packing,29.07,24,71.57,MCH-305,16.6
16/2/2023,23,Female,Morning,67.20331706,25.35,Assembly,16.96,33,75.45,,18.8
16/2/2023,33,Male,Morning,71.42531987,25.65,Packing,37.74,35,77.5,MCH-101,12.8
23/2/2023,24,Male,Morning,68.6214349,25.25,Inspection,34.99,28,56.64,MCH-305,13.4
7/2/2023,33,Male,Morning,70.10930618,22.17,Inspection,36.92,26,71.77,MCH-101,15
25/3/2023,58,Female,Evening,75.02908675,23.74,Packing,30.78,34,80.04,MCH-101,15
17/2/2023,34,Male,Evening,65.79198758,27.29,Assembly,28.43,39,87.46,MCH-101,9.1
25/1/2023,56,Male,Morning,71.802368,21.78,Inspection,32.85,31,70.2,MCH-204,13.7
18/3/2023,39,Female,Evening,79.37811953,24.47,Packing,36.39,26,65.46,MCH-204,20.4
15/2/2023,47,Female,Night,79.25398988,25.2,Packing,41.74,30,71.65,MCH-204,19.2
31/1/2023,38,Female,Morning,40.55677941,29.49,,26.9,26,63.56,MCH-204,20.1
27/1/2023,30,Male,Night,61.85111079,27.54,Assembly,42.91,34,85.69,MCH-204,16.9
30/1/2023,50,Male,Morning,78.82607149,24.89,Assembly,41.54,30,74.81,MCH-305,13.4
3/1/2023,58,Male,Morning,52.15496297,28.61,Packing,,25,69.47,MCH-101,15.8
21/3/2023,30,Male,Morning,69.51061001,24.52,Inspection,53.3,31,81.14,MCH-204,16.8
3/3/2023,51,Female,Morning,61.32521911,28.02,Packing,17.41,27,58.47,MCH-101,14
17/1/2023,30,Male,Morning,68.7730362,23.28,Assembly,54.51,23,49.28,MCH-305,9.8
2/2/2023,48,Male,Evening,60.61486539,28.15,Assembly,28.46,34,74.22,MCH-101,17.7
9/3/2023,,Female,Evening,78.27798761,25.19,Packing,37.42,31,80.74,MCH-101,13.7
4/1/2023,79,Male,Night,30,54.05,Assembly,35.44,28,68.58,MCH-305,16.9
23/3/2023,,Male,Evening,72.363776,25.57,Assembly,21.62,36,63.21,MCH-305,10.3
13/2/2023,30,Male,Morning,63.72506422,26.55,Packing,40.29,26,60.43,MCH-101,13.1
4/2/2023,23,Male,Evening,63.40178102,25.01,Inspection,,28,57.66,MCH-101,16.2
4/1/2023,23,Male,Morning,61.47153129,27.11,Assembly,39.22,32,76.65,MCH-305,16.9
14/1/2023,37,Female,Night,72.39147619,24.83,Inspection,20.23,34,78.18,MCH-204,17.2
29/1/2023,,Female,Morning,64.01330601,27.24,Inspection,22.6,32,79.18,MCH-204,14.8
16/2/2023,25,Male,Night,62.06409553,26.88,Inspection,28.03,27,70.07,MCH-204,15.6
2/2/2023,38,Male,Night,70.70047345,25.88,,47.73,29,58.44,MCH-204,16.2
17/1/2023,48,Male,Night,75.51333758,25.12,Assembly,35.96,27,62.85,MCH-101,16
19/3/2023,28,Female,Evening,68.18265143,26.3,Assembly,14.99,28,,MCH-204,16.7
17/2/2023,48,Female,Morning,71.20055371,27.1,Packing,55.64,29,59.63,MCH-204,11.5
16/1/2023,,Female,Night,31.76921432,30.12,Assembly,50,32,68.98,MCH-305,20.6
21/1/2023,52,Male,Morning,58.42054297,27.88,Packing,24.13,27,59.83,MCH-305,14.4
19/3/2023,43,Male,Evening,57.45074996,27.95,Inspection,30.91,35,63.03,MCH-305,14.7
6/2/2023,41,Male,Night,30,32.18,Packing,32.14,30,58.48,MCH-305,14.1
25/3/2023,77,Male,Night,30,47.65,Packing,40.23,26,70.16,MCH-101,15.7
15/3/2023,38,Male,Night,69.19101313,26.97,Assembly,36.99,32,55.37,MCH-101,10.7
22/1/2023,72,Female,Morning,30,51.42,Packing,28.19,29,62.4,MCH-101,13.5
31/1/2023,,Male,Night,83.25860554,23.98,Inspection,48.11,28,78.51,MCH-204,9.3
9/2/2023,50,Female,Morning,74.78892469,25.11,Assembly,52.44,37,80.49,MCH-204,13.6
11/2/2023,39,Female,Evening,77.52314063,24.99,Assembly,34.51,28,76.71,MCH-101,15.5
19/3/2023,48,Female,Night,65.93235215,27.3,Assembly,29.26,28,84.15,MCH-204,16.7
13/1/2023,46,Male,Evening,77.41245786,25.65,Inspection,50.95,35,56.8,MCH-204,14.8
13/1/2023,37,Female,Night,64.60099558,27.2,Packing,13.06,33,69.09,MCH-204,15.9
16/3/2023,32,Male,Evening,46.36126819,28.17,Assembly,26.06,34,70.75,MCH-204,9.9
8/1/2023,45,Male,Morning,65.38239239,27.73,Packing,44.79,27,89.52,MCH-204,15.5
7/3/2023,25,Male,Morning,62.94281783,25.68,Inspection,48.92,31,67.63,MCH-305,18.8
22/2/2023,43,Male,Evening,80.90239829,24.66,Inspection,31.8,23,78.01,MCH-101,16.4
21/3/2023,23,Female,Night,38.67391682,28.27,Inspection,57.8,20,86.94,MCH-101,12.8
28/3/2023,45,Female,Evening,68.27708014,27.55,Assembly,10.55,27,71.3,MCH-204,15.5
5/1/2023,45,Female,Night,74.62845581,22.79,Assembly,45.95,30,65.31,MCH-204,19.1
4/3/2023,23,Male,Evening,60.14840043,25.37,Packing,35.86,42,66.17,MCH-305,16.7
8/3/2023,50,Male,Morning,76.21741186,26.33,Packing,30.13,36,52.89,MCH-101,16.8
23/2/2023,,Female,Morning,65.12759479,27,Assembly,43.78,25,65.41,MCH-305,12.6
16/3/2023,51,Male,Evening,65.58099372,27.82,Inspection,31.1,34,55.79,MCH-305,13.9
8/1/2023,21,Male,Night,50.81757486,26.57,Inspection,24.13,23,77.82,MCH-101,14.8
18/2/2023,27,Female,Night,58.92429136,27.17,Assembly,36.15,38,54.38,MCH-305,20.4
24/1/2023,39,Female,Morning,72.31438566,26.13,Packing,34.46,27,73.92,MCH-305,12.3
8/1/2023,,Female,Evening,82.20813535,24.65,Inspection,27.19,27,81.38,MCH-101,15.8
1/3/2023,41,Male,Night,72.12187666,25.48,Assembly,29.27,35,77.29,MCH-101,17
27/2/2023,46,Male,Evening,78.62138347,26.04,Packing,30.87,27,65.17,MCH-101,17.2
24/1/2023,25,Male,Morning,63.68284672,25.93,Packing,18.74,39,77.64,MCH-305,14.3
31/1/2023,47,Male,Evening,74.25953469,22.23,Inspection,18.09,27,70.1,MCH-204,14
8/2/2023,24,Male,Morning,69.49650668,25.21,Inspection,44.33,34,65.43,MCH-204,20.8
19/2/2023,41,Female,Morning,70.8690943,26.11,Inspection,20.76,31,66.37,MCH-204,14.2
4/1/2023,43,Male,Evening,77.88656307,25.44,Inspection,34.82,33,74.43,MCH-305,13.7
3/1/2023,41,Female,Morning,78.28020875,25.51,Packing,16.31,25,54.43,MCH-305,17.8
1/3/2023,26,Female,Evening,61.89216997,26.98,Assembly,50.06,21,64.96,MCH-204,15.4
27/1/2023,31,Female,Evening,72.41080571,23.84,Packing,32.3,25,73.75,MCH-101,11.1
22/3/2023,57,Male,Evening,73.76224691,22.74,Inspection,46.18,28,64.87,MCH-101,17.9
21/2/2023,59,Female,Evening,76.6458961,25.3,Assembly,56.14,29,57.08,MCH-305,13.8
23/1/2023,41,Male,Morning,64.00628994,27.53,Packing,22.11,28,61.09,MCH-204,13.8
6/1/2023,37,Male,Night,35.77752229,29.38,Assembly,28.19,19,71.72,MCH-305,23
11/1/2023,33,Male,Night,61.3503232,27.56,Packing,43.72,27,74.83,MCH-305,14.3
6/3/2023,44,Male,Night,81.61682211,23.06,Assembly,28.67,30,80.85,MCH-204,15.2
17/2/2023,43,Male,Night,78.42859125,25.54,Packing,37.9,29,77.81,MCH-305,17.7
12/2/2023,31,Male,Evening,60.33916338,26.51,Packing,36.03,28,77.69,MCH-101,12.2
21/3/2023,20,Female,Night,56.18313306,26.36,Inspection,11.57,28,50.78,MCH-101,16.7
22/1/2023,26,Male,Evening,53.42179815,27.2,Packing,44.44,30,77.53,MCH-204,17.8
16/1/2023,58,Male,Morning,77.59951413,24.17,Inspection,33.63,25,64.83,MCH-305,19
19/2/2023,36,Female,Night,69.9277009,26.13,Packing,23.06,29,55.58,MCH-101,17
1/2/2023,39,Female,Morning,72.0430352,26.84,Assembly,50.47,28,75.58,MCH-204,11.7
4/3/2023,38,Female,Morning,60.32706009,27.65,Assembly,27.97,24,71.79,MCH-204,16.3
19/1/2023,76,Male,Evening,30,50.1,Inspection,27.42,29,78.85,MCH-204,11
13/3/2023,22,Female,Night,56.70811553,27.2,Packing,16.99,20,64.66,MCH-305,18.7
19/2/2023,23,Female,Morning,51.85259314,20.59,Inspection,40.95,27,69.94,MCH-204,18.2
2/2/2023,31,Male,Evening,72.47986137,24.76,Assembly,35.42,32,51.99,MCH-305,15.7
